PROVNUM,STATE,RESTOT,BEDCERT,OVERALL_RATING,TOTHRD,PTHRD,WEIGHTED_ALL_CYCLES_SCORE
45134,AR,123.2,136,1,3.66124,0.01683,209.6
45135,AR,106.9,140,2,4.01287,0.01397,255.6
45138,AR,,105,2,,,48
45139,AR,,119,2,,,17.6
45140,AR,96.4,245,3,4.2263,0.06215,48
45142,AR,,140,2,,,112
45143,AR,49.7,102,1,3.30974,0.07737,159.6
45144,AR,36.1,78,2,4.55047,0.05194,378.4
45145,AR,12.3,11,5,7.22996,0.32298,26.4
45146,AR,69.4,97,5,4.35453,0.09384,12.8
45147,AR,,118,3,,,33.6
45148,AR,64.9,90,5,3.22012,0.09656,16
45149,AR,,88,2,,,43.2
45151,AR,,119,4,,,16
45153,AR,39,55,4,4.78984,0.12969,48.8
45155,AR,63.8,105,4,4.24288,0.08619,28.8
45157,AR,,100,1,,,76
45158,AR,,140,1,,,72.8
45165,AR,54.5,87,4,4.12191,0.13874,40.8
45166,AR,70.5,100,2,3.97357,0.03787,76.8
45167,AR,110,140,2,4.09808,0,72
45168,AR,109.3,120,4,4.19423,0.01696,24
45170,AR,,167,3,,,56.8
45172,AR,56.6,70,4,3.30342,0.11382,40
45173,AR,84.4,104,3,4.06746,0.0268,69.6
45176,AR,,122,4,,,29.6
45177,AR,47.7,70,4,4.2076,0.04895,17.6
45178,AR,44.3,105,4,4.39438,0.08627,33.6
45180,AR,58.1,78,4,3.46073,0.03794,16.8
45181,AR,52.1,111,5,3.40848,0.05546,7.2
45182,AR,,101,3,,,35.2
45183,AR,101.4,121,5,,,25.6
45184,AR,,102,2,,,63.2
45187,AR,,113,4,,,31.2
45189,AR,,106,4,,,25.6
45190,AR,,83,1,,,58.4
45191,AR,37.5,50,5,3.94734,0.10582,56
45192,AR,,154,3,,,19.2
45194,AR,43.6,111,2,5.09989,0.01887,150.2
45195,AR,93.5,119,3,4.24385,0.12619,107
45196,AR,92.8,122,5,3.92148,0.07752,24
45197,AR,,90,4,,,6.4
45198,AR,49.5,44,4,2.6707,0.39341,33.6
45199,AR,,119,2,,,195
45201,AR,90.5,140,5,3.80074,0.06628,21.6
45202,AR,82.9,85,1,4.01092,0.05961,285.6
45203,AR,91.5,150,2,3.20899,0.02459,331
45207,AR,,142,3,,,52
45208,AR,60.2,89,5,4.49666,0.12486,11.2
45209,AR,123.7,138,4,3.87384,0.11236,19.2
45211,AR,112.1,173,2,3.94038,0,71.2
45212,AR,79.5,110,2,3.98344,0.10018,160.4
45214,AR,86.3,108,2,4.78806,0.02143,137.8
45216,AR,103.6,112,5,5.13283,0.06766,21.6
45217,AR,66.8,155,4,3.8866,0.11034,56
45218,AR,73.4,105,2,3.63319,0.04648,80
45219,AR,80.4,100,4,4.18856,0.04651,60
45220,AR,111.3,140,2,3.11445,0,268.6
45221,AR,,100,1,,,100.8
45222,AR,,120,2,,,41.6
45227,AR,71.1,78,5,3.51249,0.08123,21.6
45228,AR,45.3,70,2,4.8226,0.12282,194.8
45229,AR,27.1,69,5,3.94178,0.1688,28.8
45232,AR,,94,1,,,201.2
45236,AR,,98,3,,,29.6
45239,AR,,80,4,,,32.8
45241,AR,89.6,115,3,3.86532,0.05901,83.2
45242,AR,54.9,100,1,3.45565,0.06386,255.4
45243,AR,,70,4,,,20
45244,AR,80.3,85,5,3.79016,0.07001,10.4
45245,AR,,105,2,,,56
45246,AR,71,95,3,4.07694,0.07975,94.2
45247,AR,85.7,124,5,4.51256,0.01971,29.6
45248,AR,70.7,84,5,3.56853,0.04082,7.2
45250,AR,56.3,70,5,4.00689,0.04257,28.8
45254,AR,72.1,120,2,3.95129,0.08618,68.8
45256,AR,,121,4,,,17.6
45259,AR,88.5,140,2,4.77045,0.10188,326
45266,AR,89.7,112,4,4.94375,0.08055,57.6
45267,AR,101.2,115,2,4.00307,0,68
45268,AR,98.1,109,1,3.70046,0.0711,294.6
45269,AR,59,95,3,3.65101,0.04242,61
45270,AR,,100,2,,,90.4
45271,AR,86.1,180,4,3.84556,0.01926,5.6
45275,AR,62.6,122,4,4.74927,0.10752,107.4
45277,AR,79.7,103,1,4.20874,0.07971,200.6
45280,AR,73,80,5,3.57107,0.02785,16.8
45284,AR,,97,4,,,4.8
45287,AR,58,131,1,4.8037,0.1038,118.4
45288,AR,32,70,1,5.20661,0.14961,190
45289,AR,70.5,80,3,4.13944,0.08773,53.6
45290,AR,100,110,3,4.32148,0.02413,41.6
45295,AR,75.8,114,2,3.24465,0.03017,103.2
45297,AR,41.5,70,4,3.97697,0.05763,36.8
45300,AR,97.7,140,3,3.32495,0,34.4
45301,AR,81.8,120,4,4.31153,0.06079,19.2
45302,AR,73.1,80,2,3.91758,0.08599,134.4
45303,AR,74.2,100,5,4.34785,0.10756,46.4
45304,AR,88.4,105,5,3.54809,0.03174,27.2
45305,AR,,116,2,,,33.6
45306,AR,83.1,90,3,4.09164,0.01547,119
45307,AR,15.5,25,2,6.25249,0,145.2
45308,AR,126.3,140,4,3.97026,0.09811,30.4
45311,AR,67.9,126,2,3.82063,0,278.4
45312,AR,,86,2,,,106.4
45313,AR,68.9,104,2,4.20014,0.03532,67.2
45314,AR,,141,1,,,394.4
45315,AR,52,75,5,3.80896,0.05498,16
45317,AR,136,140,5,4.38747,0.0522,12.8
45318,AR,75.8,90,2,3.77632,0.15202,80
45321,AR,95.8,117,3,4.34819,0.06929,45.6
45322,AR,73,86,5,3.64206,0.03529,33.6
45323,AR,72.2,130,1,4.3199,0.04565,116.2
45326,AR,93.8,115,1,5.19716,0.08169,193.2
45327,AR,88.3,135,3,4.10508,0.1375,37.6
45332,AR,31,77,4,3.67132,0.18292,18.4
45334,AR,87.1,120,3,4.62752,0.09915,51.2
45337,AR,115.3,128,2,3.35659,0.02196,30.4
45338,AR,102.1,126,3,4.09836,0.04538,49.6
45339,AR,81.3,90,4,4.52084,0.01527,30.4
45340,AR,91.6,100,4,4.75967,0.07934,53.6
45341,AR,45.2,105,2,3.59809,0.11139,188.8
45342,AR,57.5,70,4,3.59554,0.05349,64.8
45343,AR,108.2,120,2,4.1225,0.10233,124.6
45345,AR,109.2,117,1,4.08374,0.00667,128.8
